Name,Bptf,Cbfa2t3h,Erg,Ets1,Ets2,Etv6,Fli1,Gata1,Gata2,Gata3,Gfi1b,Hhex,Hoxa5,Hoxa9,Hoxb4,Ikzf1,Ldb1,Lmo2,Lyl1,Meis1,Mitf,Myb,Nfe2,Nkx2,Notch,Pbx1,Prdm16,Runx1,Smarcc1,Tal1,Tcf7
MPP_068,0.870959298,0.787904011,0.819079409,0,0,0.720055125,0.71636514,0,0.709476584,0,0,0,0,0.730729361,0,0.840866777,0.843583184,0.886044472,0.787076758,0.737977539,0,0.776964546,0.878103561,0,0,0,0,0,0.849249956,0.845445475,0
LMPP_078,0.852284621,0,0.936575943,0.871257309,0,0,0.742698379,0,0,0,0,0,0,0.74373592,0,0.910779974,0.784646426,0.800434692,0.77178338,0.749116314,0,0.793692835,0.760182462,0.363022989,0.627702769,0,0,0.64709096,0.843884104,0,0
MPP_136,0.829247619,0.688154644,0.750925836,0.872636583,0,0.844892023,0.758740842,0,0,0,0,0.809059854,0,0.851073041,0,0.679343508,0.801423885,0.85409002,0.79836373,0.800066856,0,0.886564758,0.684775029,0.660784444,0.822565737,0.770216303,0,0,0.869523105,0.757972486,0
LMPP_142,0.802492571,0.675090574,0.767064287,0.843528742,0.752527321,0,0.780363956,0,0.616532898,0,0,0,0,0.739192361,0,0.753043184,0.710042538,0.775432844,0.666136069,0.733825562,0,0.79268617,0.792163883,0.777052552,0.70011973,0,0,0.465082508,0.781021495,0.75132381,0
HSC48_030,0.73336304,0,0.77198298,0.651480619,0.752936075,0.838444253,0.768821246,0,0.60461568,0,0,0.822957065,0,0.829091456,0,0.7943846,0.744554253,0.830595174,0.726632644,0.667967327,0,0.6033331,0.755607124,0,0.720167171,0.537361228,0,0.36474798,0.815011971,0.736999003,0
CMP_025,0.835881471,0,0.732819333,0,0,0.636423132,0.773803554,0,0,0,0,0,0,0.737993234,0,0.776677737,0.463152962,0.744091205,0.752407028,0.5367361,0,0.772318993,0.814116363,0,0,0,0.758977962,0.622222437,0.81937539,0.705643565,0
ST-HSC_036,0.921455177,0.812073734,0.847863788,0.840533326,0.875581048,0.850034945,0.738251625,0,0,0,0,0,0,0.825864311,0,0.867237329,0.779719057,0.74011963,0.741536694,0.798656603,0,0.900778298,0.816371501,0.787682971,0.747732826,0.815865598,0,0,0.940756559,0,0
GMP_203,0.802630559,0.647124551,0.641081065,0,0.72548123,0.687857799,0.740176581,0,0,0,0,0,0,0.715075633,0,0.742702759,0.613246848,0.674525116,0.749350688,0.491881234,0,0.813581119,0.759173505,0,0.579312957,0.727893728,0.747751024,0.667432551,0.81440017,0,0
LMPP_126,0.763344132,0.415568766,0.821148118,0.776104336,0.818995482,0.757939041,0.853763294,0,0,0,0,0,0,0.936061711,0,0.939088687,0.774176871,0.821173771,0.846053381,0.815725746,0,0.882352652,0.688166567,0.796332938,0.725158301,0.805041905,0,0.790062794,0.939262673,0.930511442,0
ST-HSC_041,0.864775796,0.734670437,0,0.807882306,0,0.729090326,0.64241349,0,0.700463849,0,0,0,0,0.777131131,0,0.823754774,0.849961374,0.80522692,0.778118577,0.742499121,0,0.947183972,0.803900849,0.753270045,0.800674876,0,0.822476251,0.849983681,0.744673835,0.794666377,0
LMPP_201,0.850572097,0.76230566,0.819604008,0,0,0.83761543,0.806373499,0,0,0,0,0,0,0.730391319,0,0.908459581,0.737621698,0.863818926,0.785582259,0.722577913,0.834144673,0.747336925,0.76274148,0.823699118,0.72555067,0,0,0.554083814,0.8139163,0,0
LMPP_210,0.985022868,0.874796357,0.821563786,0.875511892,0,0.90722555,0.811494827,0,0,0,0,0.930555028,0,0,0,0.987297621,0.835555516,0.846015665,0.871347387,0.875060836,0,0.870217424,0.911810788,0.833848064,0,0,0,0.792962924,0.890749671,0,0
ST-HSC_198,0.840160414,0.69197924,0.805915647,0,0.692555969,0.774469261,0.756485045,0,0,0,0.779200151,0,0,0.695944635,0,0.765874376,0.723354511,0.849586866,0.782365767,0.739675466,0,0.902766308,0.720607596,0.260864165,0,0.468494274,0,0.852680292,0.724287989,0,0
MPP_061,0.826261949,0.731851208,0.71149871,0.369566027,0.805894856,0.721171714,0.680285239,0.391939407,0,0,0.212868715,0,0,0.798551043,0.77415646,0.836975521,0.696404168,0.809491069,0.729665394,0.769244099,0,0.767764368,0.754791637,0.718986753,0.681783402,0,0,0.526883915,0.823203969,0.293601574,0.290633783
MPP_190,0.770706236,0.447110216,0.472422796,0.747206819,0.72136029,0.752489549,0.717669949,0.641636819,0.623933497,0.742965666,0.502362332,0.477319271,0.516973834,0.748729171,0.823109022,0.716367415,0.802130207,0.757377728,0.721576388,0.797991304,0.494942103,0.775853404,0.76686861,0.706782044,0.735594631,0.768936924,0.496940554,0.748321186,0.748931249,0.443396559,0.553111989
MPP_004,0.759276127,0.694795691,0.731739991,0.702554875,0,0.711065927,0.714823326,0,0.629344377,0,0,0,0,0.769846097,0,0.754451909,0.781098993,0.690397582,0.762132629,0.739326771,0,0.661586219,0.738981338,0.611490694,0.897127122,0,0,0.530868946,0.765703691,0,0
MPP_054,0.718472675,0.667643701,0.608219989,0.636501448,0.69570805,0.816015613,0.731582407,0,0,0,0,0,0,0.719302869,0,0.72518873,0.714703249,0.697022681,0.684345748,0.716551164,0.748828509,0.743357293,0.761618861,0.720004453,0.74192258,0.640159788,0,0.600318859,0.813009932,0.692474149,0
ST-HSC_138,0.887982862,0.729878734,0.855610357,0.895448654,0.79648694,0.737690016,0.780532512,0,0,0.776080663,0.760437161,0,0,0.714727982,0,0.823820484,0.707441459,0.79994724,0.754142656,0.745042771,0,0.816616618,0.731670867,0,0.763296954,0,0,0.818409443,0.82215848,0,0
GMP_068,0.819188538,0.741502418,0,0,0,0.834755993,0.73532478,0,0,0,0.679322315,0,0,0.712514131,0,0.801458201,0.699492379,0.750600992,0.774647016,0.638779406,0,0.775598675,0.764677995,0,0.590969411,0.71345063,0,0.703667663,0.865502834,0,0
