Name,Cell_type,Bptf,Cbfa2t3h,Cdkn2a,Csf1r,Dnmt3a,Egfl7,Eif2b1,Erg,Ets1,Ets2,Etv6,Fli1,Gata1,Gata2,Gata3,Gfi1,Gfi1b,Hhex,Hoxa5,Hoxa9,Hoxb4,Ikzf1,Itga2b,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Mpl,Myb,Nfe2,Nkx2.3,Notch,Pbx1,Polr2a,Prdm16,Procr,Runx1,Sfpi1,Sh2b3,Smarcc1,Tal1,Tcf7,Tet2,Ubc,Vwf
CMP_021,CMP,18.92777789,18.23375544,40,40,15.96695784,40,17.29255338,18.6830679,40,19.33097486,17.23480758,13.19843069,40,19.12284499,40,40,16.75647646,40,40,40,40,18.21852828,16.51163647,17.63971463,40,16.23337701,17.98905431,19.29644029,15.44652506,40,14.96822821,17.48971984,16.93866509,19.29092809,40,16.12726248,19.59178798,40,40,20.3425452,19.33401178,40,17.03772959,17.07617856,40,20.58034662,15.53632556,15.31600309
CMP_022,CMP,16.92332705,17.83487613,40,40,40,40,18.58040174,40,40,19.17311273,18.86169746,16.59202576,40,18.20654731,40,40,19.92946741,18.36028185,40,25.80635435,20.07166312,17.84671987,18.12150909,16.08673801,18.22454881,17.15709935,40,40,16.30554452,40,40,15.71259847,16.47765477,40,40,19.87034092,19.42951767,40,40,21.90518279,19.39073268,40,18.03692689,16.89316727,40,19.75084156,15.62913037,40
CMP_023,CMP,18.16773862,19.58876265,40,40,16.42247046,40,17.19790268,18.89020162,40,19.18258298,17.75046294,12.81808905,40,19.79550756,40,40,16.34345544,40,40,40,19.04714411,19.66916248,15.18215753,17.43780468,40,17.2166976,18.9344519,19.17721377,15.86755762,40,16.88994163,17.04366381,17.4620709,40,40,16.32943596,19.71321273,20.87942387,40,22.31569266,40,40,16.65079819,18.36831623,40,20.25243189,15.93619059,16.8047118
CMP_024,CMP,17.95284557,20.30355973,40,40,17.88250571,40,19.60192648,18.22991585,40,19.20788684,18.59739703,16.78024446,18.9261435,18.94829905,40,40,17.19349044,40,40,19.20566716,40,18.75333252,19.22015239,15.86567973,18.26716429,19.03146967,17.38363662,40,40,40,40,15.76995317,17.60957244,40,40,19.1580792,20.43103773,40,40,22.63188722,18.91962548,40,18.53072716,18.52685771,40,40,14.9697302,40
CMP_025,CMP,16.30524667,40,40,40,17.49526263,40,19.63832939,18.08795468,40,40,20.07789409,15.37217311,40,40,40,18.34449418,40,40,40,18.91905063,40,17.81646918,40,16.93600835,23.39222182,16.93152824,16.34548339,40,19.06287418,40,40,16.88343149,16.7172293,40,40,40,17.66701583,19.31608056,40,23.2400505,16.28632432,40,16.92297733,19.02190829,40,18.31017048,14.32237399,40
CMP_026,CMP,40,19.38196694,40,40,16.96961357,20.23967796,19.77002802,40,40,18.51457166,20.39830826,18.83634199,19.14976907,18.42160947,40,40,40,40,40,40,40,19.1159615,18.36355578,17.47420505,17.30137686,22.52107212,18.14694109,40,17.63968021,40,17.42740326,17.02605382,18.15064538,40,40,20.21630942,20.61261668,40,40,22.76423666,40,40,17.72325334,40,40,40,16.43281367,40
CMP_027,CMP,16.59363568,20.14739572,40,40,16.78170753,19.08075212,19.33704782,17.22923058,20.74051202,19.38647078,17.46440392,15.22452513,19.24531238,19.79928661,40,40,40,17.91950375,40,20.14844762,40,17.62753837,17.89405638,15.26768806,19.64895622,16.58623807,17.99292479,40,15.55184916,18.29871962,17.10452915,15.99870442,16.27821523,40,40,18.79238494,20.66374041,40,40,23.50151474,16.12557938,40,16.39514957,40,40,40,13.78959433,40
CMP_028,CMP,16.10262115,18.37764485,40,40,17.46659994,40,40,18.37068499,21.86417746,18.51550064,18.1448147,15.12496263,17.67670988,17.68619882,40,40,18.26778883,40,40,18.10240454,40,17.57617956,17.70550861,15.61944079,18.06207924,17.94682263,17.22413774,40,15.16545614,40,16.32493297,16.72618753,16.86374697,18.80871146,40,17.59443296,19.88046986,40,40,22.46776773,18.17943799,40,16.98307074,40,40,40,14.60547023,40
CMP_029,CMP,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
CMP_030,CMP,16.44460074,16.11490557,40,40,16.12071124,40,17.03244441,16.49551422,40,20.93719847,17.1759455,14.3535712,40,19.018722,17.26603736,40,16.42136926,18.13534806,40,20.01459612,20.02783845,16.6970302,17.53423866,15.04261887,17.17458325,15.91881659,15.19348235,18.91226472,14.63635277,18.88417311,15.69112581,15.14510344,16.09361333,19.23058696,26.02220792,18.2782708,17.39216096,40,40,21.61430423,15.45129988,40,15.58282765,17.41251106,40,17.82892956,13.15205293,40
CMP_031,CMP,17.18563312,17.17631888,40,40,16.28157312,40,19.33656912,17.27309338,40,40,16.92973239,15.99478232,40,21.27474924,40,17.69712749,19.99580139,40,40,25.30544846,40,18.65235079,40,15.84105131,19.14825388,17.04559532,15.85297375,18.17921249,15.80216204,40,24.29515317,16.26324392,16.47232804,40,26.12953323,23.94312117,20.04919433,40,40,22.16481926,18.17042109,40,17.04513964,40,40,19.10804139,14.89122957,40
CMP_032,CMP,17.02514592,40,40,40,16.9828353,20.76783145,17.38388814,40,40,40,18.53926864,15.69145142,40,40,17.61067998,40,40,40,40,18.72892947,40,16.57894061,40,18.52328807,18.14577745,40,17.59899751,40,17.10909875,40,40,15.76668948,18.18885871,40,24.45366929,40,18.65903842,40,40,21.30071522,15.82844701,40,15.86372079,18.51686886,17.28068162,19.48289693,13.42967973,40
